# Hexagonal side 5mm, cell height 20mm, TM diameter 1mm
# Vcathode   diaFe    dTmFe    Vfocus     nAll 1mm 2mm
-1000.000000 8.000000 8.000000 -200.000000 271 1 7
-1000.000000 8.000000 8.000000 -100.000000 271 1 5
-1000.000000 8.000000 9.000000 -900.000000 271 43 145
-1000.000000 8.000000 9.000000 -800.000000 271 30 70
-1000.000000 8.000000 9.000000 -700.000000 271 19 50
-1000.000000 8.000000 9.000000 -600.000000 271 13 30
-1000.000000 8.000000 9.000000 -500.000000 271 9 23
-1000.000000 8.000000 9.000000 -400.000000 271 5 20
-1000.000000 8.000000 9.000000 -300.000000 271 4 10
-1000.000000 8.000000 9.000000 -200.000000 271 4 10
-1000.000000 8.000000 9.000000 -100.000000 271 1 4
-1000.000000 8.000000 10.000000 -900.000000 271 19 70
-1000.000000 8.000000 10.000000 -800.000000 271 10 39
-1000.000000 8.000000 10.000000 -700.000000 271 7 31
-1000.000000 8.000000 10.000000 -600.000000 271 7 19
-1000.000000 8.000000 10.000000 -500.000000 271 5 13
-1000.000000 8.000000 10.000000 -400.000000 271 1 7
-1000.000000 8.000000 10.000000 -300.000000 271 1 7
-1000.000000 8.000000 10.000000 -200.000000 271 1 7
-1000.000000 8.000000 10.000000 -100.000000 271 1 1
