# Hexagonal side 5mm, cell height 20mm, TM diameter 1mm
# Vcathode   diaFe    dTmFe    Vfocus     nAll 1mm 2mm
-1000.000000 4.000000 1.000000 -900.000000 271 212 271
-1000.000000 4.000000 1.000000 -800.000000 271 121 271
-1000.000000 4.000000 1.000000 -700.000000 271 77 271
-1000.000000 4.000000 1.000000 -600.000000 271 55 203
-1000.000000 4.000000 1.000000 -500.000000 271 37 142
-1000.000000 4.000000 1.000000 -400.000000 271 19 91
-1000.000000 4.000000 1.000000 -300.000000 271 19 61
-1000.000000 4.000000 1.000000 -200.000000 271 7 37
-1000.000000 4.000000 1.000000 -100.000000 271 7 19
-1000.000000 4.000000 2.000000 -900.000000 271 181 271
-1000.000000 4.000000 2.000000 -800.000000 271 89 265
-1000.000000 4.000000 2.000000 -700.000000 271 55 211
-1000.000000 4.000000 2.000000 -600.000000 271 37 147
-1000.000000 4.000000 2.000000 -500.000000 271 26 96
-1000.000000 4.000000 2.000000 -400.000000 271 19 63
-1000.000000 4.000000 2.000000 -300.000000 271 13 39
-1000.000000 4.000000 2.000000 -200.000000 271 7 31
-1000.000000 4.000000 2.000000 -100.000000 271 1 13
-1000.000000 4.000000 3.010000 -900.000000 271 138 271
-1000.000000 4.000000 3.010000 -800.000000 271 66 211
-1000.000000 4.000000 3.010000 -700.000000 271 38 159
-1000.000000 4.000000 3.010000 -600.000000 271 31 102
-1000.000000 4.000000 3.010000 -500.000000 271 19 65
-1000.000000 4.000000 3.010000 -400.000000 271 13 47
-1000.000000 4.000000 3.010000 -300.000000 271 7 31
-1000.000000 4.000000 3.010000 -200.000000 271 7 19
-1000.000000 4.000000 3.010000 -100.000000 271 1 7
-1000.000000 4.000000 4.000000 -900.000000 271 112 265
-1000.000000 4.000000 4.000000 -800.000000 271 55 195
-1000.000000 4.000000 4.000000 -700.000000 271 31 118
-1000.000000 4.000000 4.000000 -600.000000 271 19 78
-1000.000000 4.000000 4.000000 -500.000000 271 13 55
-1000.000000 4.000000 4.000000 -400.000000 271 7 37
-1000.000000 4.000000 4.000000 -300.000000 271 7 19
-1000.000000 4.000000 4.000000 -200.000000 271 5 13
-1000.000000 4.000000 4.000000 -100.000000 271 1 7
-1000.000000 4.000000 5.000000 -900.000000 271 86 241
-1000.000000 4.000000 5.000000 -800.000000 271 37 154
-1000.000000 4.000000 5.000000 -700.000000 271 20 89
-1000.000000 4.000000 5.000000 -600.000000 271 19 59
-1000.000000 4.000000 5.000000 -500.000000 271 9 37
-1000.000000 4.000000 5.000000 -400.000000 271 7 28
-1000.000000 4.000000 5.000000 -300.000000 271 7 19
-1000.000000 4.000000 5.000000 -200.000000 271 1 8
-1000.000000 4.000000 5.000000 -100.000000 271 1 7
-1000.000000 4.000000 6.000000 -900.000000 271 65 211
-1000.000000 4.000000 6.000000 -800.000000 271 32 121
-1000.000000 4.000000 6.000000 -700.000000 271 19 70
-1000.000000 4.000000 6.000000 -600.000000 271 13 47
-1000.000000 4.000000 6.000000 -500.000000 271 7 31
-1000.000000 4.000000 6.000000 -400.000000 271 7 19
-1000.000000 4.000000 6.000000 -300.000000 271 5 13
-1000.000000 4.000000 6.000000 -200.000000 271 1 7
-1000.000000 4.000000 6.000000 -100.000000 271 1 5
-1000.000000 4.000000 7.000000 -900.000000 271 55 199
-1000.000000 4.000000 7.000000 -800.000000 271 24 94
-1000.000000 4.000000 7.000000 -700.000000 271 18 59
-1000.000000 4.000000 7.000000 -600.000000 271 7 37
-1000.000000 4.000000 7.000000 -500.000000 271 7 23
-1000.000000 4.000000 7.000000 -400.000000 271 7 19
-1000.000000 4.000000 7.000000 -300.000000 271 1 9
-1000.000000 4.000000 7.000000 -200.000000 271 1 7
-1000.000000 4.000000 7.000000 -100.000000 271 1 1
-1000.000000 4.000000 8.000000 -900.000000 271 40 163
-1000.000000 4.000000 8.000000 -800.000000 271 19 81
