-5    0     2.21
-2.5  4.33  2.21
 2.5  4.33  2.21
 5    0     2.21
 2.5 -4.33  2.21
-2.5 -4.33  2.21
-5    0     2.21


 2.5 -4.33  2.21
 5    0     2.21
10    0     2.21
12.5 -4.33  2.21
10   -8.66  2.21
 5   -8.66  2.21
 2.5 -4.33  2.21


 -2.5 -4.33  2.21
 -5    0     2.21
-10    0     2.21
-12.5 -4.33  2.21
-10   -8.66  2.21
 -5   -8.66  2.21
 -2.5 -4.33  2.21


 2.5  4.33  2.21
 5    8.66  2.21
10    8.66  2.21
12.5  4.33  2.21
10    0     2.21
 5    0     2.21
 2.5  4.33  2.21


 -2.5  4.33  2.21
 -5    8.66  2.21
-10    8.66  2.21
-12.5  4.33  2.21
-10    0     2.21
 -5    0     2.21
 -2.5  4.33  2.21


-5    8.66  2.21
-2.5 12.99  2.21
 2.5 12.99  2.21
 5    8.66  2.21
 2.5  4.33  2.21
-2.5  4.33  2.21
-5    8.66  2.21


-5    -8.66  2.21
-2.5 -12.99  2.21
 2.5 -12.99  2.21
 5    -8.66  2.21
 2.5  -4.33  2.21
-2.5  -4.33  2.21
-5    -8.66  2.21
